Accession_Number_New,Accession_Number_Old,Genus,Species,Binomial,Host_Binomial,Year_Sample_Collected,Country_of_Collection,Type
KR997994,KR997994,Eucampsipoda,sp. MD-2016,Eucampsipoda_sp._MD-2016,Rousettus_aegyptiacus,2016,South_Africa,0
KR997992,KR997992,Eucampsipoda,sp. MD-2016,Eucampsipoda_sp._MD-2016,Rousettus_aegyptiacus,2016,South_Africa,0
KR997999,KR997999,Eucampsipoda,sp. MD-2016,Eucampsipoda_sp._MD-2016,Rousettus_aegyptiacus,2016,South_Africa,0
KR997999,KR997999,Eucampsipoda,sp. MD-2016,Eucampsipoda_sp._MD-2016,Rousettus_aegyptiacus,2016,South_Africa,0
KR998001,KR998001,Eucampsipoda,sp. MD-2016,Eucampsipoda_sp._MD-2016,Rousettus_aegyptiacus,2016,South_Africa,0
MH151059,MH151059,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2018,Nigeria,0
MH151060,MH151060,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2018,Nigeria,0
KR997998,KR997998,Eucampsipoda,sp. MD-2016,Eucampsipoda_africana,Rousettus_aegyptiacus,2016,South_Africa,0
MH151062,MH151062,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2018,Nigeria,0
LC536587,LC536587,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2020,Zambia,0
LC536586,LC536586,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2020,Zambia,0
LC536588,LC536588,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2020,Zambia,0
MH151066,MH151066,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2018,Nigeria,0
KR997997,KR997997,Eucampsipoda,sp. MD-2016,Eucampsipoda_sp._MD-2016,Rousettus_aegyptiacus,2016,South_Africa,0
KF021491,KF021491,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2013,Kenya,0
MH151065,MH151065,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2018,Nigeria,0
MH151063,MH151063,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_aegyptiacus,2018,Nigeria,0
KR997996,KR997996,Eucampsipoda,sp. MD-2016,Eucampsipoda_sp._MD-2016,Rousettus_aegyptiacus,2016,South_Africa,0
KR997995,KR997995,Eucampsipoda,sp. MD-2016,Eucampsipoda_sp._MD-2016,Rousettus_aegyptiacus,2016,South_Africa,0
KF021500,KF021500,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF021499,KF021499,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF021496,KF021496,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF021498,KF021498,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF021497,KF021497,Eucampsipoda,theodori,Eucampsipoda_theodori,Rousettus_obliviosus,2010,Comoros,0
KF021493,KF021493,Eucampsipoda,inermis,Eucampsipoda_inermis,Rousettus_amplexicaudatus,2006,Philippines,0
OM283592,OM283592,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_leschenaultii,2019,Pakistan,0
OM283590,OM283590,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_leschenaultii,2019,Pakistan,0
OM283588,OM283588,Eucampsipoda,sp,Eucampsipoda_sp,Rousettus_leschenaultii,2019,Pakistan,0
OM283589,OM283589,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_leschenaultii,2019,Pakistan,0
OM283591,OM283591,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_leschenaultii,2019,Pakistan,0
OM283593,OM283593,Eucampsipoda,africana,Eucampsipoda_africana,Rousettus_leschenaultii,2019,Pakistan,0
KF021495,KF021495,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,2008,Madagascar,0
KF021494,KF021494,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,2008,Madagascar,0
KF273783,KF273783,Eucampsipoda,sundaica,Eucampsipoda_sundaica,Pteropus_vampyrus,2004,Malaysia,0
MF462043,MF462043,Cyclopodia,dubia,Cyclopodia_dubia,Eidolon_dupreanum,2017,Madagascar,0
KF273782,KF273782,Cyclopodia,horsefieldi,Cyclopodia_horsefieldi,Pteropus_vampyrus,2004,Malaysia,0
KF273778,KF273778,Cyclopodia,horsefieldi,Cyclopodia_horsefieldi,Pteropus_lylei,2006,Cambodia,0
KF273770,KF273770,Cyclopodia,horsefieldi,Cyclopodia_horsefieldi,Pteropus_hypomelanus,2006,Malaysia,0
OL847632,OL847632,Basilia,lindolphoi,Basilia_lindolphoi,Myotis_nigricans,2021,Brasil,0
MH282032,MH282032,Basilia,tiptoni,Basilia_tiptoni,NA,2013,Panama,0
MK140104,MK140104,Basilia,nana,Basilia_nana,Myotis_myotis,2018,Hungary,0
KF021492,KF021492,Nycteribia,africana,Nycteribia_africana,Rousettus_aegyptiacus,2006,Kenya,0
