"month_year","sampleid","roost_site","processing_date","bat_species","bat_sex","bat_age_class","bat_weight_g","bat_forearm_mm","meglastreblidae","bat_flies","mass_forearm_residual","mean_Hday","lag_temp","lag_precip"
2014-10-01,"MIZ4","Maromizaha_Rmad",2014-10-03,"Rousettus madagascariensis","male","A",70,70.6,NA,5,6.580045416,55.32325,18.90573,0.017898545
2014-10-01,"MIZ6","Maromizaha_Rmad",2014-10-03,"Rousettus madagascariensis","male","A",70,71.9,NA,3,4.450067515,55.32325,18.90573,0.017898545
2014-10-01,"MIZ7","Maromizaha_Rmad",2014-10-03,"Rousettus madagascariensis","male","A",33,64.4,NA,9,-20.69761638,55.32325,18.90573,0.017898545
2014-10-01,"MIZ19","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",65,69.5,NA,4,3.357695285,55.32325,18.90573,0.017898545
2014-10-01,"MIZ22","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","female","NL",65,71,NA,9,8.58436631,55.32325,18.90573,0.017898545
2014-10-01,"MIZ23","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","female","NL",60,70.5,NA,5,4.188788339,55.32325,18.90573,0.017898545
2014-10-01,"MIZ25","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",62,67.5,NA,16,3.531690595,55.32325,18.90573,0.017898545
2014-10-01,"MIZ28","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",63,72.3,NA,13,-3.211640962,55.32325,18.90573,0.017898545
2014-10-01,"MIZ1","Maromizaha_Rmad",2014-10-03,"Rousettus madagascariensis","male","A",60.5,72.5,NA,10,-6.043610509,55.32325,18.90573,0.017898545
2014-10-01,"MIZ3","Maromizaha_Rmad",2014-10-03,"Rousettus madagascariensis","male","A",70,73.5,NA,14,1.785404192,55.32325,18.90573,0.017898545
2014-10-01,"MIZ2","Maromizaha_Rmad",2014-10-03,"Rousettus madagascariensis","male","A",35,59.5,NA,5,-11.52988135,55.32325,18.90573,0.017898545
2014-10-01,"MIZ5","Maromizaha_Rmad",2014-10-03,"Rousettus madagascariensis","male","A",60,73.5,NA,8,-8.214595808,55.32325,18.90573,0.017898545
2014-10-01,"MIZ9","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",65,70,NA,8,2.552477288,55.32325,18.90573,0.017898545
2014-10-01,"MIZ11","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",68,74.5,NA,15,-1.904108499,55.32325,18.90573,0.017898545
2014-10-01,"MIZ12","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","female","NL",72,76,NA,6,9.418412291,55.32325,18.90573,0.017898545
2014-10-01,"MIZ13","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",65,72.5,NA,9,-1.543610509,55.32325,18.90573,0.017898545
2014-10-01,"MIZ21","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","female","NL",45,65.5,NA,8,-4.891626788,55.32325,18.90573,0.017898545
2014-10-01,"MIZ24","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",66,72.6,NA,4,-0.709873939,55.32325,18.90573,0.017898545
2014-10-01,"MIZ26","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",62,70.4,NA,6,-1.095063321,55.32325,18.90573,0.017898545
2014-10-01,"MIZ27","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","female","NL",62,66.5,NA,2,10.94277515,55.32325,18.90573,0.017898545
2014-10-01,"MIZ29","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",62,70.5,NA,10,-1.257415581,55.32325,18.90573,0.017898545
2014-10-01,"MIZ30","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",56,70.5,NA,0,-7.257415581,55.32325,18.90573,0.017898545
2014-10-01,"MIZ8","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","female","NL",68,66.8,NA,6,16.59129405,55.32325,18.90573,0.017898545
2014-10-01,"MIZ10","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",65,71.6,NA,8,-0.05560446,55.32325,18.90573,0.017898545
2014-10-01,"MIZ14","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","female","NL",53,71.2,NA,7,-3.65802879,55.32325,18.90573,0.017898545
2014-10-01,"MIZ15","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",65,69.5,NA,0,3.357695285,55.32325,18.90573,0.017898545
2014-10-01,"MIZ16","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",60,75.8,NA,18,-12.12809559,55.32325,18.90573,0.017898545
2014-10-01,"MIZ17","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","female","NL",61,68,NA,6,8.177103449,55.32325,18.90573,0.017898545
2014-10-01,"MIZ18","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",52,66.5,NA,8,-4.909528891,55.32325,18.90573,0.017898545
2014-10-01,"MIZ20","Maromizaha_Rmad",2014-10-04,"Rousettus madagascariensis","male","A",61,70.3,NA,13,-1.932897853,55.32325,18.90573,0.017898545
2014-12-01,"MIZ35","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","female","P",70,70.6,NA,7,14.06808311,63.56993,22.40386,0.35950032
2014-12-01,"MIZ36","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","female","P",70,73,NA,11,11.14439986,63.56993,22.40386,0.35950032
2014-12-01,"MIZ37","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","male","A",66,73,NA,7,-1.376784242,63.56993,22.40386,0.35950032
2014-12-01,"MIZ39","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","male","A",70,68.9,NA,10,9.317777096,63.56993,22.40386,0.35950032
2014-12-01,"MIZ42","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","female","L",60,70.1,NA,14,4.670711528,63.56993,22.40386,0.35950032
2014-12-01,"MIZ44","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","male","A",69,72.5,NA,2,2.456389491,63.56993,22.40386,0.35950032
2014-12-01,"MIZ38","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","male","A",70,72.7,NA,18,3.123676924,63.56993,22.40386,0.35950032
2014-12-01,"MIZ40","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","male","A",62,71.5,NA,7,-2.891200776,63.56993,22.40386,0.35950032
2014-12-01,"MIZ41","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","male","A",65,73.5,NA,17,-3.214595808,63.56993,22.40386,0.35950032
2014-12-01,"MIZ31","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","female","P",71,68.5,NA,13,17.5839722,63.56993,22.40386,0.35950032
2014-12-01,"MIZ32","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","female","P",90,74.9,NA,17,28.79373199,63.56993,22.40386,0.35950032
2014-12-01,"MIZ33","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","male","A",70,70.9,NA,6,6.091308453,63.56993,22.40386,0.35950032
2014-12-01,"MIZ34","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","male","A",68,72.5,NA,21,1.456389491,63.56993,22.40386,0.35950032
2014-12-01,"MIZ61","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","male","A",75,72.5,NA,4,8.456389491,63.56993,22.40386,0.35950032
2014-12-01,"MIZ49","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","female","P",73,71.5,NA,7,15.97770903,63.56993,22.40386,0.35950032
2014-12-01,"MIZ52","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","female","P",70,69.4,NA,15,15.51061151,63.56993,22.40386,0.35950032
2014-12-01,"MIZ53","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","female","P",85,71.8,NA,8,27.61264485,63.56993,22.40386,0.35950032
2014-12-01,"MIZ54","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","male","A",58,71.5,NA,15,-6.891200776,63.56993,22.40386,0.35950032
2014-12-01,"MIZ56","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","female","L",65,72.5,NA,8,6.757718471,63.56993,22.40386,0.35950032
2014-12-01,"MIZ45","Maromizaha_Rmad",2014-12-12,"Rousettus madagascariensis","female","P",70,71.7,NA,18,12.73442193,63.56993,22.40386,0.35950032
2014-12-01,"MIZ47","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","male","A",60,70.4,NA,19,-3.095063321,63.56993,22.40386,0.35950032
2014-12-01,"MIZ51","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","female","P",79,70.5,NA,15,23.18878834,63.56993,22.40386,0.35950032
2014-12-01,"MIZ46","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","female","L",60,69.7,NA,15,5.151195449,63.56993,22.40386,0.35950032
2014-12-01,"MIZ50","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","male","A",70,73.8,NA,13,1.28049359,63.56993,22.40386,0.35950032
2014-12-01,"MIZ55","Maromizaha_Rmad",2014-12-13,"Rousettus madagascariensis","male","A",50,67,NA,10,-7.686562223,63.56993,22.40386,0.35950032
